name,value,arabicDescription,englishDescription,,
totalNumbersOfNafathAccess,"2,075,830,418",اجمالي عدد مرات الدخول عن طريق النفاذ,Total Number Of Auth Requests,,
totalNumbersOfServiceProviders,485,عدد مزودي الخدمات المرتبطين بالمنصة,Total Number Of Service Providers,,
totalNumbersOfUsers,"23,297,934",اجمالي عدد المستخدمين,Total Numbers Of Users,,
allMaleUsersCount,"15,609,616",اجمالي عدد المستخدمين - الذكور,Total Numbers Of Male Users,,
allFemaleUsersCount,"7,688,318",اجمالي عدد المستخدمين - الاناث,Total Numbers Of Female Users,,
allUserFrom10To20,"2,048,467",عدد المستخدمين حسب العمر من 10 الى 20,Total Numbers Of Users - Age From 10 To 20,,
allUserFrom20To30,"6,601,696",عدد المستخدمين حسب العمر من 20 الى 30,Total Numbers Of Users - Age From 20 To 30,,
allUserFrom30To40,"7,248,255",عدد المستخدمين حسب العمر من 30 الى 40,Total Numbers Of Users - Age From 30 To 40,,
allUserFrom40To50,"4,638,989",عدد المستخدمين حسب العمر من 40 الى 50,Total Numbers Of Users - Age From 40 To 50,,
allUserFrom50To60,"1,840,703",عدد المستخدمين حسب العمر من 50 الى 60,Total Numbers Of Users - Age From 50 To 60,,
allUserFrom60To70,"642,100",عدد المستخدمين حسب العمر من 60 الى 70,Total Numbers Of Users - Age From 60 To 70,,
allUserFrom70To80,"199,307",عدد المستخدمين حسب العمر من 70 الى 80,Total Numbers Of Users - Age From 70 To 80,,
allUserFrom80To90,"65,253",عدد المستخدمين حسب العمر من 80 الى 90,Total Numbers Of Users - Age From 80 To 90,,
allUserFrom90To100,"11,553",عدد المستخدمين حسب العمر من 90 الى 100,Total Numbers Of Users - Age From 90 To 100,,
allUserMore100,"1,612",عدد المستخدمين أكبر من 100,Total Numbers Of - Age > 100,,
allNafathAppUsers,20.8M,اجمالي عدد مرات تحميل تطبيق نفاذ,Total Number Of Nafath App Downloads,,
allNafathAppUsersIOS,12.1M,اجمالي عدد مرات تحميل تطبيق نفاذ - IOS,Total Number Of Nafath App Downloads - IOS,,
allNafathAppUsersAndroid,7.3M,اجمالي عدد مرات تحميل تطبيق نفاذ - Android,Total Number Of Nafath App Downloads - Android,,
allNafathAppUsersHuawei,1.4M,اجمالي عدد مرات تحميل تطبيق نفاذ - Huawei,Total Number Of Nafath App Downloads - Huawei,,
topServiceProvider,وزارة العدل,أكثر مزود خدمة استخداما للمنصة,Top Service Provider,,
